"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,212","21.5%","35.7%","37.4%","5.4%","28,211","7.2%","14.0%","37.8%","26.8%","1.1%","8.3%","4.7%","78.7%","13.0%","6,510","75.6%","8.4%","7,362","80.4%","3.6%","11,133","75.6%","12.6%","3,206","92.0%","45.3%","","30.6%","7.9%","0.0%","0.2%","","36,899","27,442","40,051","28,091","50,933","35,709","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,825","1.6%","26.2%","65.2%","7.0%","16,123","4.4%","11.0%","37.4%","21.3%","5.9%","14.1%","5.8%","84.6%","19.9%","2,614","88.7%","26.5%","3,656","91.8%","25.9%","6,643","80.4%","12.7%","3,210","81.5%","22.8%","","17.8%","24.5%","10.0%","4.2%","","24,036","18,546","20,849","24,500","31,702","41,841","","(X)"
"Hutchinson, KS Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,390","22.1%","27.6%","45.4%","4.9%","43,086","3.9%","8.1%","28.1%","31.2%","10.8%","12.6%","5.3%","88.0%","17.9%","7,512","86.1%","11.6%","7,293","91.4%","27.8%","17,194","90.9%","19.4%","11,087","82.5%","13.3%","","16.7%","6.4%","6.8%","2.2%","","30,437","27,954","25,658","29,298","34,385","50,799","","2.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,464","30.9%","24.7%","41.9%","2.5%","21,277","3.6%","10.8%","28.1%","30.3%","8.6%","12.2%","6.4%","85.6%","18.6%","3,982","78.4%","11.3%","3,831","92.2%","25.6%","8,758","85.1%","18.0%","4,706","87.1%","20.0%","","7.0%","7.5%","3.6%","1.2%","","36,731","30,959","32,756","37,595","43,688","74,038","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,926","11.7%","31.1%","49.5%","7.7%","21,809","4.1%","5.5%","28.1%","32.1%","13.0%","13.0%","4.2%","90.4%","17.2%","3,530","94.8%","11.9%","3,462","90.5%","30.2%","8,436","97.0%","20.8%","6,381","79.2%","8.3%","","31.1%","5.5%","9.3%","3.2%","","23,111","9,167","17,806","23,800","27,901","39,406","","(X)"
"Idaho Falls, ID Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,665","18.4%","35.5%","39.7%","6.4%","79,020","3.8%","5.7%","26.9%","27.9%","11.1%","17.8%","6.9%","90.5%","24.6%","18,776","93.6%","25.6%","15,991","85.3%","23.6%","29,669","90.4%","23.9%","14,584","92.6%","25.9%","","20.4%","16.1%","8.8%","5.8%","","30,370","21,519","22,324","28,725","46,613","76,344","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,283","21.4%","33.2%","40.3%","5.1%","38,505","4.4%","6.7%","25.1%","25.6%","8.8%","18.4%","10.9%","88.9%","29.3%","8,935","92.3%","31.7%","8,291","83.2%","27.7%","14,760","89.0%","25.0%","6,519","91.2%","38.0%","","8.8%","16.1%","7.9%","3.2%","","42,021","29,338","26,761","40,875","65,895","88,750","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,382","14.9%","38.2%","39.0%","7.9%","40,515","3.2%","4.7%","28.5%","30.2%","13.2%","17.1%","3.0%","92.1%","20.2%","9,841","94.9%","20.1%","7,700","87.6%","19.3%","14,909","91.7%","22.9%","8,065","93.7%","16.2%","","35.8%","16.2%","9.4%","9.3%","","19,093","12,865","17,454","20,368","30,274","40,960","","(X)"
"Indiana, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,341","8.0%","26.2%","58.6%","7.1%","56,471","5.5%","7.3%","43.4%","13.3%","9.2%","12.8%","8.6%","87.3%","21.4%","8,973","91.6%","23.2%","9,312","92.5%","29.0%","23,686","91.3%","22.5%","14,500","74.6%","13.5%","","27.7%","11.1%","11.0%","6.4%","","31,398","21,699","26,406","30,762","46,597","62,354","","4.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,683","8.9%","34.3%","51.9%","4.9%","27,879","5.1%","7.5%","44.5%","12.6%","9.7%","11.4%","9.2%","87.4%","20.6%","4,857","91.5%","21.1%","4,647","90.2%","29.4%","11,994","88.8%","20.3%","6,381","79.5%","14.6%","","26.4%","7.9%","10.8%","5.6%","","40,477","27,452","36,185","37,206","57,895","90,648","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,658","7.1%","18.1%","65.4%","9.4%","28,592","5.8%","7.0%","42.4%","14.1%","8.6%","14.1%","7.9%","87.2%","22.1%","4,116","91.8%","25.7%","4,665","94.7%","28.6%","11,692","93.9%","24.7%","8,119","70.8%","12.7%","","28.9%","14.2%","11.1%","7.1%","","23,181","6,317","18,488","22,427","29,623","59,275","","(X)"
"Indianapolis-Carmel, IN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,781","20.3%","25.7%","41.7%","12.3%","1,175,144","3.4%","7.7%","28.8%","20.2%","7.9%","20.8%","11.3%","88.9%","32.1%","258,378","89.3%","37.4%","243,392","90.2%","37.8%","468,977","90.6%","30.5%","204,397","82.9%","22.3%","","30.5%","13.3%","9.9%","3.1%","","36,272","17,345","27,308","32,181","49,168","64,950","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,248","24.1%","28.5%","36.1%","11.3%","560,293","3.5%","8.0%","28.8%","20.2%","7.1%","21.2%","11.3%","88.5%","32.5%","126,385","88.8%","33.8%","119,420","88.4%","35.4%","227,474","89.8%","31.3%","87,014","85.1%","29.4%","","26.2%","12.4%","7.7%","3.0%","","41,668","20,173","32,146","40,468","60,318","80,182","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,533","16.5%","23.0%","47.3%","13.2%","614,851","3.4%","7.4%","28.8%","20.1%","8.6%","20.5%","11.3%","89.2%","31.8%","131,993","89.8%","40.8%","123,972","92.0%","40.0%","241,503","91.3%","29.7%","117,383","81.3%","17.0%","","34.7%","14.2%","11.7%","3.1%","","31,040","15,650","23,030","27,122","41,204","55,808","","(X)"
"Iowa City, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,784","5.2%","23.4%","57.7%","13.7%","95,338","2.9%","3.5%","18.7%","19.0%","8.3%","25.0%","22.6%","93.6%","47.6%","25,220","95.3%","60.1%","18,813","92.9%","50.9%","35,112","95.2%","44.0%","16,193","88.3%","32.2%","","13.6%","6.6%","7.7%","6.6%","","38,403","25,606","26,672","34,297","41,743","61,215","","2.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,437","4.1%","27.2%","59.8%","8.9%","46,903","3.0%","3.7%","21.6%","20.2%","6.3%","22.5%","22.7%","93.3%","45.2%","12,726","93.6%","54.1%","9,770","91.7%","40.7%","17,258","95.1%","45.0%","7,149","91.0%","36.2%","","7.2%","6.5%","5.3%","5.1%","","45,081","31,065","30,016","40,954","53,324","66,836","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,347","6.2%","19.7%","55.6%","18.6%","48,435","2.8%","3.3%","15.9%","17.8%","10.3%","27.4%","22.5%","93.9%","49.9%","12,494","97.1%","66.2%","9,043","94.3%","61.9%","17,854","95.4%","42.9%","9,044","86.2%","29.1%","","20.4%","6.9%","9.8%","8.0%","","33,870","17,985","22,271","30,618","37,779","50,034","","(X)"
"Ithaca, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,424","5.3%","16.5%","66.4%","11.7%","58,927","1.6%","5.0%","16.2%","15.0%","10.3%","21.0%","30.9%","93.4%","51.9%","14,686","94.2%","64.0%","9,611","95.1%","48.5%","22,901","94.4%","48.9%","11,729","89.0%","45.4%","","13.8%","16.3%","9.7%","5.8%","","39,272","18,003","31,718","35,864","36,112","52,224","","1.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,539","5.9%","20.9%","60.0%","13.3%","28,036","1.3%","7.8%","15.1%","14.5%","10.0%","18.1%","33.3%","91.0%","51.4%","7,340","90.5%","58.7%","4,937","92.3%","46.7%","10,832","92.9%","47.7%","4,927","86.0%","53.3%","","6.8%","15.1%","7.7%","3.2%","","45,207","19,861","41,163","41,841","48,134","65,771","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,885","4.8%","12.3%","72.8%","10.2%","30,891","1.8%","2.6%","17.3%","15.4%","10.5%","23.7%","28.8%","95.6%","52.4%","7,346","98.0%","69.4%","4,674","98.1%","50.5%","12,069","95.8%","50.1%","6,802","91.1%","39.7%","","27.1%","17.3%","11.3%","8.0%","","32,493","12,053","26,007","31,048","31,169","46,360","","(X)"
"Jackson, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,422","16.4%","30.3%","50.2%","3.1%","109,423","2.3%","9.7%","35.7%","24.3%","8.6%","13.5%","5.8%","88.0%","19.3%","18,903","83.2%","18.5%","20,108","90.3%","24.7%","46,279","92.4%","19.3%","24,133","81.2%","15.4%","","27.6%","17.0%","12.7%","5.7%","","30,166","16,904","25,929","29,407","46,453","57,212","","4.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,275","21.3%","37.4%","38.9%","2.4%","55,878","2.3%","11.2%","37.6%","22.5%","8.2%","13.8%","4.4%","86.4%","18.2%","10,413","79.7%","14.1%","11,095","92.0%","21.4%","23,820","89.6%","18.6%","10,550","80.1%","18.0%","","24.4%","15.3%","9.9%","2.2%","","36,104","16,601","30,840","35,723","53,312","56,696","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,147","11.5%","23.1%","61.7%","3.7%","53,545","2.3%","8.1%","33.8%","26.2%","9.1%","13.3%","7.2%","89.6%","20.4%","8,490","87.6%","23.9%","9,013","88.2%","28.9%","22,459","95.5%","20.0%","13,583","82.0%","13.4%","","31.2%","18.7%","15.1%","8.9%","","24,462","17,924","17,308","24,307","32,027","57,333","","(X)"
"Jackson, MS Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,173","16.2%","29.1%","47.8%","6.8%","351,182","3.5%","9.1%","26.4%","22.9%","7.8%","18.1%","12.1%","87.4%","30.3%","76,816","88.1%","32.1%","68,964","91.1%","35.4%","140,044","89.8%","28.6%","65,358","77.3%","26.4%","","41.9%","24.5%","13.2%","5.0%","","31,527","15,661","25,939","26,782","41,643","56,042","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,134","20.8%","30.2%","42.5%","6.5%","160,743","3.9%","10.0%","27.9%","23.0%","5.9%","17.4%","11.8%","86.1%","29.3%","35,346","83.5%","29.0%","33,039","90.7%","30.9%","65,602","88.5%","26.0%","26,756","78.1%","35.6%","","35.7%","18.1%","10.2%","5.0%","","36,541","16,956","27,332","30,451","53,155","78,826","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,039","11.7%","28.1%","53.0%","7.2%","190,439","3.2%","8.4%","25.0%","22.9%","9.3%","18.8%","12.4%","88.4%","31.2%","41,470","92.0%","34.7%","35,925","91.5%","39.5%","74,442","90.9%","31.0%","38,602","76.8%","20.0%","","47.6%","30.4%","15.4%","5.0%","","28,930","12,706","21,780","24,829","35,693","48,756","","(X)"
"Jackson, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,842","12.5%","24.3%","57.1%","6.1%","74,650","3.5%","11.1%","33.2%","22.1%","7.3%","14.3%","8.5%","85.5%","22.9%","13,390","86.6%","27.7%","13,858","87.8%","23.2%","30,871","88.5%","22.6%","16,531","76.8%","19.2%","","31.0%","14.3%","10.3%","8.8%","","31,447","20,910","26,421","30,468","43,923","52,259","","3.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,416","18.2%","28.9%","47.6%","5.3%","34,708","3.6%","12.7%","35.4%","21.9%","4.7%","11.9%","9.8%","83.7%","21.7%","6,346","83.5%","20.7%","6,673","87.5%","19.2%","14,725","88.8%","20.6%","6,964","69.2%","27.0%","","26.8%","11.3%","4.5%","6.4%","","35,423","21,917","31,971","35,331","58,214","58,658","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,426","7.5%","20.3%","65.2%","6.9%","39,942","3.4%","9.6%","31.3%","22.3%","9.5%","16.5%","7.5%","87.0%","23.9%","7,044","89.3%","34.0%","7,185","88.0%","26.9%","16,146","88.3%","24.4%","9,567","82.4%","13.5%","","35.5%","17.2%","14.5%","10.7%","","26,614","16,516","20,363","24,691","40,975","46,670","","(X)"
"Jacksonville, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","132,725","17.3%","35.3%","41.5%","5.9%","925,289","3.1%","8.2%","28.5%","23.0%","9.2%","19.3%","8.7%","88.7%","28.0%","187,690","89.9%","27.5%","182,142","90.4%","31.2%","375,367","89.9%","27.6%","180,090","83.1%","26.1%","","30.5%","15.9%","10.3%","5.0%","","32,801","19,273","26,613","31,523","44,360","60,773","","9.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68,117","20.6%","38.4%","36.3%","4.8%","439,200","3.3%","8.7%","29.2%","22.4%","8.6%","19.1%","8.8%","88.0%","27.9%","91,664","87.7%","20.7%","88,263","89.2%","30.0%","180,993","89.3%","27.9%","78,280","83.9%","33.6%","","25.4%","12.3%","8.2%","4.6%","","37,985","22,009","30,773","37,225","56,256","79,628","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64,608","13.8%","32.0%","47.0%","7.2%","486,089","2.9%","7.8%","28.0%","23.6%","9.7%","19.4%","8.7%","89.3%","28.1%","96,026","92.1%","33.9%","93,879","91.5%","32.4%","194,374","90.5%","27.2%","101,810","82.4%","20.3%","","35.7%","19.2%","12.0%","5.4%","","28,995","17,061","22,086","27,288","38,659","47,151","","(X)"
"Jacksonville, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,806","11.6%","39.2%","46.9%","2.2%","97,744","2.9%","4.3%","29.2%","33.5%","10.9%","13.5%","5.7%","92.8%","19.2%","33,173","93.2%","17.4%","19,521","94.4%","17.0%","30,939","95.4%","22.3%","14,111","83.9%","19.7%","","33.4%","14.8%","9.8%","3.4%","","30,079","15,584","26,770","28,077","45,062","53,652","","3.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,322","8.2%","47.3%","44.0%","0.5%","49,053","2.2%","5.3%","32.4%","34.5%","9.2%","11.4%","5.1%","92.5%","16.5%","18,424","90.6%","11.5%","9,695","97.3%","13.0%","14,877","95.6%","24.1%","6,057","83.3%","18.5%","","27.8%","11.9%","7.8%","2.4%","","35,303","17,490","31,191","32,274","58,585","71,810","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,484","18.4%","23.6%","52.6%","5.5%","48,691","3.7%","3.3%","26.0%","32.6%","12.6%","15.5%","6.4%","93.0%","21.9%","14,749","96.5%","24.7%","9,826","91.4%","21.0%","16,062","95.2%","20.6%","8,054","84.3%","20.6%","","39.6%","18.3%","11.6%","4.2%","","23,053","10,000","19,151","21,927","31,544","50,645","","(X)"
"Jamestown-Dunkirk-Fredonia, NY Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,901","17.0%","24.4%","50.1%","8.6%","90,217","4.4%","8.7%","35.3%","19.6%","12.0%","9.9%","10.1%","86.9%","20.0%","14,448","89.1%","18.8%","14,903","85.5%","19.9%","37,888","90.7%","22.2%","22,978","80.2%","17.1%","","34.4%","20.4%","11.4%","3.5%","","29,577","15,603","26,610","28,612","39,789","49,287","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,838","20.7%","33.4%","41.5%","4.5%","43,450","5.3%","9.4%","37.6%","15.9%","12.3%","10.6%","8.8%","85.3%","19.4%","7,204","84.6%","18.4%","7,511","78.9%","13.1%","18,754","91.5%","20.7%","9,981","78.7%","22.5%","","33.9%","13.8%","7.8%","2.5%","","35,911","16,208","31,713","41,843","46,006","50,210","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,063","13.0%","14.4%","59.5%","13.1%","46,767","3.6%","8.0%","33.2%","23.0%","11.8%","9.3%","11.2%","88.4%","20.5%","7,244","93.6%","19.2%","7,392","92.1%","26.8%","19,134","89.9%","23.7%","12,997","81.3%","12.9%","","34.9%","27.3%","14.0%","4.4%","","24,702","9,861","21,115","21,455","32,441","48,905","","(X)"
"Janesville, WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,052","9.7%","48.5%","37.0%","4.8%","107,345","4.2%","9.5%","33.4%","23.2%","10.1%","13.4%","6.4%","86.4%","19.7%","20,105","83.6%","22.9%","20,107","89.2%","29.5%","43,897","88.1%","18.1%","23,236","83.2%","11.7%","","25.3%","9.1%","11.8%","4.6%","","31,402","21,407","25,396","29,565","46,047","55,536","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,841","8.1%","56.4%","34.5%","1.0%","51,747","4.7%","10.1%","34.0%","21.4%","9.3%","12.6%","7.9%","85.2%","20.5%","10,320","82.8%","19.5%","9,929","89.3%","30.3%","21,578","84.5%","18.5%","9,920","85.2%","16.0%","","20.1%","9.7%","9.7%","3.0%","","40,962","26,025","31,724","39,941","53,667","66,318","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,211","11.3%","40.9%","39.3%","8.5%","55,598","3.7%","8.8%","32.8%","24.8%","10.9%","14.1%","4.9%","87.5%","19.0%","9,785","84.5%","26.4%","10,178","89.0%","28.7%","22,319","91.5%","17.7%","13,316","81.7%","8.4%","","31.0%","8.7%","13.5%","6.1%","","23,961","16,049","21,268","22,393","35,057","49,976","","(X)"
"Jefferson City, MO Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,300","13.9%","28.3%","49.0%","8.8%","100,171","3.5%","7.9%","35.6%","19.1%","7.6%","18.1%","8.2%","88.7%","26.4%","19,409","90.9%","32.2%","18,990","89.3%","26.4%","40,486","90.2%","27.8%","21,286","83.1%","18.3%","","22.8%","14.2%","14.4%","2.4%","","32,052","19,433","25,862","31,010","42,413","52,231","","3.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,151","12.2%","32.0%","50.8%","5.0%","49,967","4.2%","9.3%","36.9%","17.5%","7.7%","16.5%","7.9%","86.5%","24.4%","10,235","88.1%","22.6%","9,892","84.1%","21.4%","20,374","87.5%","27.5%","9,466","85.0%","22.8%","","12.7%","14.8%","7.5%","3.8%","","37,226","21,784","30,742","39,817","51,914","60,608","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,149","15.9%","24.0%","47.0%","13.1%","50,204","2.7%","6.4%","34.3%","20.8%","7.5%","19.8%","8.5%","90.8%","28.3%","9,174","94.0%","42.8%","9,098","95.1%","32.0%","20,112","92.9%","28.0%","11,820","81.6%","14.6%","","33.5%","13.6%","19.8%","1.2%","","29,697","17,880","21,475","27,380","37,813","50,735","","(X)"
"Johnson City, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,742","8.9%","30.2%","50.3%","10.5%","139,276","6.2%","11.3%","33.6%","19.6%","6.1%","14.0%","9.2%","82.5%","23.2%","23,583","88.8%","35.2%","26,759","86.2%","18.2%","54,169","85.3%","23.6%","34,765","71.0%","18.2%","","24.1%","17.3%","12.1%","6.8%","","29,480","16,355","25,167","28,173","41,292","57,132","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,424","12.2%","33.5%","45.0%","9.3%","67,559","6.7%","11.1%","35.7%","20.2%","5.1%","12.1%","9.1%","82.2%","21.2%","11,451","89.0%","32.0%","14,114","84.9%","11.8%","26,362","84.7%","22.4%","15,632","70.3%","19.7%","","22.5%","15.1%","9.6%","6.1%","","32,424","21,339","27,258","35,690","56,948","61,608","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,318","6.2%","27.5%","54.7%","11.6%","71,717","5.7%","11.5%","31.7%","19.0%","7.1%","15.7%","9.3%","82.8%","25.1%","12,132","88.6%","38.3%","12,645","87.6%","25.3%","27,807","85.9%","24.8%","19,133","71.6%","16.9%","","25.7%","19.7%","14.4%","7.3%","","26,157","13,321","20,040","25,265","36,841","42,471","","(X)"
"Johnstown, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,496","7.7%","31.8%","54.0%","6.5%","100,802","3.3%","6.8%","47.2%","13.6%","10.8%","12.3%","5.9%","89.9%","18.3%","15,047","94.7%","27.1%","16,495","93.2%","23.2%","41,801","94.1%","19.0%","27,459","79.0%","9.4%","","20.4%","11.0%","15.0%","3.9%","","30,442","20,553","26,480","30,928","40,406","60,862","","2.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
