"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,934","13.7%","32.1%","44.8%","9.5%","397,780","4.0%","5.8%","28.9%","16.9%","6.8%","21.9%","15.6%","90.2%","37.5%","75,526","90.9%","34.2%","72,578","90.6%","39.5%","168,156","91.9%","38.4%","81,520","85.4%","36.8%","","21.9%","9.4%","6.3%","2.9%","","52,526","27,185","41,358","47,782","74,827","96,366","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60,213","10.0%","22.8%","54.3%","12.8%","437,483","4.5%","5.2%","25.9%","17.6%","9.3%","20.8%","16.6%","90.3%","37.4%","73,636","94.1%","48.9%","74,941","91.6%","45.2%","180,179","92.5%","38.2%","108,727","83.0%","23.1%","","35.6%","14.2%","8.9%","3.0%","","39,533","17,601","28,189","35,615","50,106","65,149","","(X)"
"Hattiesburg, MS Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,928","11.1%","21.1%","59.7%","8.1%","93,623","3.2%","8.4%","27.1%","25.1%","9.7%","16.2%","10.4%","88.4%","26.6%","23,028","92.3%","24.7%","18,432","92.4%","26.9%","34,097","85.7%","28.1%","18,066","84.4%","26.0%","","37.6%","15.7%","17.7%","5.2%","","30,523","26,284","25,358","22,486","41,587","42,252","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,701","17.5%","19.7%","53.9%","8.8%","43,418","4.1%","10.0%","29.4%","23.6%","6.7%","16.4%","9.9%","86.0%","26.3%","10,845","92.9%","20.5%","9,302","90.3%","21.2%","15,754","79.7%","29.4%","7,517","83.7%","34.4%","","27.9%","14.5%","13.1%","5.5%","","36,561","29,268","30,182","40,036","58,608","46,968","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,227","5.6%","22.3%","64.6%","7.5%","50,205","2.5%","6.9%","25.1%","26.3%","12.3%","16.0%","10.9%","90.5%","26.9%","12,183","91.9%","28.4%","9,130","94.4%","32.8%","18,343","90.9%","26.9%","10,549","84.9%","20.0%","","50.6%","17.0%","20.7%","5.0%","","22,091","10,939","16,612","15,824","35,563","41,734","","(X)"
"Helena, MT Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,832","22.6%","29.0%","45.1%","3.2%","54,905","3.6%","3.7%","27.9%","22.5%","6.5%","22.2%","13.6%","92.7%","35.8%","9,853","91.3%","33.9%","8,700","94.0%","42.5%","23,390","92.8%","34.6%","12,962","92.8%","34.8%","","24.8%","17.9%","7.1%","1.0%","","34,322","16,105","28,140","29,583","47,893","50,946","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,555","31.0%","33.0%","33.0%","2.9%","27,204","4.6%","5.3%","24.8%","22.4%","5.7%","23.0%","14.3%","90.1%","37.2%","5,280","87.7%","30.4%","4,222","88.1%","33.2%","11,417","91.6%","38.2%","6,285","90.8%","43.8%","","31.3%","11.3%","6.6%","1.0%","","39,570","20,997","32,380","38,320","50,642","65,375","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,277","16.0%","26.0%","54.6%","3.5%","27,701","2.6%","2.1%","30.9%","22.7%","7.3%","21.5%","12.9%","95.3%","34.4%","4,573","95.4%","38.0%","4,478","99.6%","51.3%","11,973","93.9%","31.2%","6,677","94.8%","26.4%","","11.2%","23.1%","7.7%","1.0%","","28,753","13,782","22,619","21,549","42,018","43,991","","(X)"
"Hermiston-Pendleton, OR Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,187","29.1%","40.7%","25.3%","4.9%","55,539","8.1%","7.9%","29.5%","29.2%","9.2%","10.1%","6.1%","84.1%","16.1%","10,587","83.3%","12.5%","11,516","73.3%","10.3%","20,268","91.8%","21.5%","13,168","82.0%","15.8%","","31.3%","13.6%","9.5%","6.1%","","28,447","19,975","27,122","30,131","44,817","50,543","","8.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,397","35.2%","40.0%","22.7%","2.1%","28,434","8.3%","9.1%","31.5%","28.7%","8.1%","8.6%","5.6%","82.6%","14.2%","6,165","79.8%","8.5%","6,563","70.9%","6.9%","9,688","90.4%","19.0%","6,018","85.5%","20.6%","","25.1%","10.8%","7.0%","5.5%","","31,650","18,892","30,649","38,561","42,299","61,062","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,790","21.9%","41.6%","28.5%","8.0%","27,105","7.7%","6.7%","27.4%","29.7%","10.4%","11.6%","6.5%","85.6%","18.1%","4,422","88.3%","18.2%","4,953","76.5%","14.9%","10,580","93.2%","23.9%","7,150","79.1%","11.8%","","37.9%","16.6%","11.6%","6.6%","","22,200","21,222","16,013","21,589","45,054","46,349","","(X)"
"Hickory-Lenoir-Morganton, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,333","17.2%","37.5%","39.7%","5.6%","252,259","6.6%","12.7%","31.4%","21.7%","9.5%","12.8%","5.3%","80.7%","18.1%","40,096","83.9%","16.8%","46,335","81.9%","18.5%","102,844","82.9%","19.3%","62,984","74.1%","16.6%","","29.8%","16.4%","11.9%","6.6%","","27,997","20,441","25,900","29,023","39,245","48,261","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,077","19.9%","38.6%","38.3%","3.1%","121,880","7.2%","14.0%","33.0%","21.2%","7.2%","12.4%","5.1%","78.8%","17.5%","19,936","78.1%","15.3%","23,436","79.3%","15.5%","50,877","80.9%","17.8%","27,631","75.1%","20.1%","","23.6%","13.0%","10.5%","5.8%","","31,219","25,593","27,547","34,822","45,123","60,647","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,256","14.2%","36.2%","41.2%","8.4%","130,379","6.1%","11.4%","30.0%","22.1%","11.7%","13.2%","5.4%","82.4%","18.6%","20,160","89.6%","18.3%","22,899","84.6%","21.5%","51,967","84.9%","20.7%","35,353","73.3%","13.9%","","36.7%","19.8%","13.0%","7.2%","","25,198","16,197","22,011","25,837","35,680","42,426","","(X)"
"Hilo, HI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,918","13.0%","36.8%","46.2%","3.9%","135,445","1.5%","6.1%","32.1%","21.5%","10.2%","17.7%","10.9%","92.4%","28.6%","23,968","88.9%","25.4%","22,661","92.6%","24.7%","54,518","96.0%","32.8%","34,298","88.8%","26.5%","","31.5%","16.9%","14.0%","9.9%","","32,103","20,710","30,065","30,826","41,679","50,108","","8.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,095","12.0%","41.3%","44.8%","1.9%","66,640","1.3%","5.6%","35.3%","22.5%","9.6%","15.6%","10.1%","93.2%","25.8%","11,953","93.5%","24.6%","11,739","89.9%","19.7%","26,700","95.6%","27.3%","16,248","91.3%","28.6%","","34.8%","17.1%","12.3%","8.9%","","36,260","24,756","31,961","35,467","46,687","49,071","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,823","14.0%","32.3%","47.7%","6.0%","68,805","1.8%","6.6%","29.0%","20.5%","10.9%","19.7%","11.6%","91.6%","31.3%","12,015","84.3%","26.3%","10,922","95.6%","30.2%","27,818","96.5%","38.1%","18,050","86.7%","24.7%","","28.9%","16.7%","15.6%","10.7%","","30,231","18,700","26,214","25,676","37,415","50,963","","(X)"
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,436","11.0%","37.6%","46.5%","4.9%","143,098","2.5%","5.7%","26.2%","22.5%","8.0%","20.2%","14.9%","91.7%","35.0%","25,227","90.2%","23.2%","21,216","86.7%","26.2%","49,290","93.7%","32.7%","47,365","92.7%","47.7%","","26.3%","10.7%","8.2%","5.0%","","29,332","20,831","22,489","30,023","41,124","50,329","","12.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,114","10.5%","43.3%","39.7%","6.5%","68,697","3.2%","6.5%","26.5%","21.5%","4.3%","22.6%","15.4%","90.3%","38.0%","12,891","88.5%","19.1%","10,623","85.6%","22.8%","22,736","91.6%","34.8%","22,447","92.2%","59.4%","","20.2%","9.7%","4.5%","2.8%","","35,695","21,923","26,686","40,213","51,663","58,432","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,322","11.7%","29.0%","56.9%","2.3%","74,401","1.9%","5.0%","25.9%","23.5%","11.4%","17.9%","14.4%","93.1%","32.3%","12,336","92.1%","27.6%","10,593","87.8%","29.7%","26,554","95.6%","30.9%","24,918","93.2%","37.2%","","33.9%","11.6%","10.7%","7.4%","","22,500","12,315","18,605","20,511","36,095","45,299","","(X)"
"Hinesville, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,009","9.7%","46.3%","41.6%","2.3%","46,492","3.3%","7.5%","33.4%","30.1%","9.6%","11.0%","5.0%","89.2%","16.0%","15,571","92.1%","17.2%","8,701","92.9%","14.7%","15,963","89.7%","16.7%","6,257","75.4%","13.3%","","28.2%","12.3%","8.4%","10.8%","","31,435","19,283","27,084","35,168","36,855","58,244","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,673","8.9%","49.1%","39.9%","2.1%","21,884","3.1%","7.6%","32.3%","33.0%","8.5%","11.9%","3.6%","89.3%","15.5%","8,277","89.2%","14.3%","3,908","87.5%","20.1%","7,283","90.3%","16.2%","2,416","89.3%","9.7%","","37.5%","8.2%","4.9%","7.0%","","36,317","20,415","32,167","41,018","49,318","56,682","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,336","10.6%","42.9%","43.8%","2.6%","24,608","3.5%","7.4%","34.4%","27.6%","10.6%","10.2%","6.3%","89.1%","16.5%","7,294","95.4%","20.4%","4,793","97.2%","10.3%","8,680","89.3%","17.2%","3,841","66.6%","15.5%","","20.4%","15.5%","11.7%","14.0%","","24,494","13,856","21,632","24,096","30,297","58,638","","(X)"
"Hobbs, NM Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,705","23.4%","38.6%","36.7%","1.2%","41,724","15.4%","15.2%","30.9%","21.6%","5.8%","7.0%","4.1%","69.4%","11.1%","10,146","85.9%","9.5%","9,126","65.0%","8.6%","15,112","68.1%","12.4%","7,340","54.6%","13.8%","","15.6%","15.0%","7.6%","2.3%","","40,528","35,739","40,611","44,578","31,598","49,696","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,378","27.8%","45.3%","26.9%","0.0%","21,334","14.8%","15.6%","35.0%","19.1%","3.8%","7.7%","4.1%","69.6%","11.7%","5,479","83.2%","6.6%","4,516","65.5%","5.5%","7,926","70.3%","14.8%","3,413","51.9%","20.9%","","12.8%","4.4%","1.5%","4.3%","","54,209","44,933","57,986","60,255","56,890","50,778","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,327","17.7%","29.8%","49.7%","2.8%","20,390","16.1%","14.8%","26.6%","24.2%","7.9%","6.3%","4.1%","69.1%","10.4%","4,667","89.1%","12.8%","4,610","64.6%","11.7%","7,186","65.7%","9.6%","3,927","57.0%","7.6%","","18.1%","28.8%","11.8%","0.0%","","21,896","16,238","21,570","24,663","30,379","48,457","","(X)"
"Holland, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,565","17.9%","36.9%","37.7%","7.6%","76,882","3.0%","5.8%","40.1%","20.3%","8.2%","15.5%","7.1%","91.2%","22.6%","13,386","93.1%","20.6%","13,692","94.0%","29.4%","32,695","92.7%","21.0%","17,109","84.6%","21.8%","","30.4%","11.6%","7.3%","4.8%","","35,775","22,198","29,687","38,759","41,468","62,025","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,351","17.7%","44.9%","33.3%","4.1%","37,640","3.6%","6.8%","40.7%","20.1%","7.6%","13.2%","8.0%","89.6%","21.2%","6,650","92.5%","13.7%","6,794","94.1%","24.2%","16,309","89.7%","21.5%","7,887","82.8%","24.1%","","27.0%","8.7%","4.1%","5.2%","","41,659","27,618","35,863","45,136","64,524","64,780","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,214","18.1%","28.6%","42.1%","11.2%","39,242","2.4%","4.8%","39.5%","20.6%","8.7%","17.8%","6.2%","92.8%","24.0%","6,736","93.6%","27.4%","6,898","93.9%","34.5%","16,386","95.8%","20.5%","9,222","86.1%","19.9%","","35.0%","14.4%","10.1%","4.4%","","26,758","13,363","24,012","25,716","32,561","53,302","","(X)"
"Homosassa Springs, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,783","33.0%","38.8%","21.9%","6.3%","110,554","3.7%","9.2%","39.1%","23.0%","7.3%","11.4%","6.2%","87.1%","17.6%","10,773","86.5%","8.0%","11,723","88.0%","17.3%","39,052","91.0%","17.4%","49,006","83.9%","19.9%","","29.8%","20.4%","14.0%","8.4%","","24,125","10,985","21,927","25,167","37,902","56,509","","7.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,035","24.7%","44.9%","21.5%","8.8%","52,473","3.8%","9.1%","35.6%","23.9%","8.4%","12.3%","6.8%","87.1%","19.1%","5,152","83.2%","6.6%","5,777","84.9%","15.1%","17,963","91.1%","13.3%","23,581","85.4%","27.3%","","27.9%","17.0%","13.8%","7.8%","","25,508","10,867","25,049","26,185","31,023","56,128","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,748","41.9%","32.3%","22.3%","3.6%","58,081","3.6%","9.4%","42.3%","22.2%","6.3%","10.6%","5.7%","87.1%","16.2%","5,621","89.5%","9.3%","5,946","91.0%","19.4%","21,089","90.9%","20.9%","25,425","82.4%","13.1%","","31.5%","23.0%","14.2%","9.0%","","23,090","11,242","19,645","22,180","39,752","60,131","","(X)"
"Hot Springs, AR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,092","25.3%","31.0%","41.9%","1.8%","67,961","3.4%","8.4%","35.0%","24.4%","6.8%","12.2%","9.9%","88.2%","22.1%","10,394","84.2%","20.8%","10,399","93.6%","26.9%","26,215","88.8%","15.8%","20,953","86.8%","28.2%","","34.8%","18.3%","14.0%","5.0%","","27,354","12,677","22,783","28,785","39,069","55,931","","4.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,162","29.2%","31.9%","38.9%","0.0%","32,423","3.2%","8.4%","39.3%","21.9%","4.3%","12.0%","10.9%","88.5%","22.9%","5,402","76.6%","9.2%","5,107","93.3%","26.9%","12,497","90.5%","16.0%","9,417","89.9%","37.9%","","38.8%","17.8%","7.4%","2.9%","","33,680","20,159","26,275","39,344","37,536","74,531","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,930","22.0%","30.2%","44.5%","3.2%","35,538","3.6%","8.4%","31.1%","26.6%","9.0%","12.3%","9.0%","88.0%","21.3%","4,992","92.3%","33.4%","5,292","93.9%","26.8%","13,718","87.3%","15.6%","11,536","84.2%","20.4%","","31.3%","18.9%","18.5%","7.0%","","23,086","4,318","19,777","19,307","45,212","50,182","","(X)"
"Houma-Thibodaux, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,028","32.0%","33.5%","30.6%","4.0%","138,191","9.1%","13.6%","40.8%","17.7%","4.2%","10.3%","4.3%","77.3%","14.6%","31,501","79.6%","17.1%","25,847","77.4%","17.5%","53,860","79.8%","13.2%","26,983","69.7%","11.5%","","30.0%","14.8%","9.6%","3.3%","","33,128","24,014","29,360","32,409","49,324","47,397","","7.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,846","38.4%","31.5%","26.2%","3.8%","65,150","10.1%","14.1%","42.8%","16.1%","3.3%","9.6%","4.0%","75.8%","13.6%","14,538","77.2%","13.5%","13,356","77.3%","18.9%","25,702","76.0%","9.4%","11,554","71.8%","16.9%","","21.6%","13.2%","5.1%","1.2%","","48,255","35,161","49,869","50,399","66,105","53,601","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,182","25.2%","35.5%","35.2%","4.1%","73,041","8.2%","13.2%","39.0%","19.2%","5.0%","10.9%","4.5%","78.6%","15.4%","16,963","81.6%","20.2%","12,491","77.5%","16.0%","28,158","83.1%","16.6%","15,429","68.1%","7.5%","","38.5%","16.4%","12.7%","5.0%","","23,934","12,482","20,660","26,090","42,857","34,638","","(X)"
"Houston-The Woodlands-Sugar Land, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","619,572","18.0%","31.6%","42.1%","8.3%","4,117,947","9.5%","8.5%","22.9%","21.9%","6.2%","19.8%","11.2%","82.0%","31.0%","981,010","85.6%","31.8%","928,646","80.6%","33.2%","1,569,699","82.1%","30.7%","638,592","78.4%","27.5%","","26.0%","14.5%","9.6%","3.8%","","39,456","21,696","29,742","37,272","58,506","76,322","","7.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318,059","20.0%","32.6%","40.3%","7.1%","2,013,617","10.0%","8.9%","23.0%","21.1%","5.6%","19.7%","11.7%","81.1%","31.4%","496,620","83.9%","27.4%","460,956","78.2%","32.2%","771,697","81.0%","32.2%","284,344","81.0%","34.8%","","20.7%","11.7%","7.3%","3.9%","","46,257","26,389","35,019","46,934","76,210","101,188","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","301,513","15.9%","30.5%","44.1%","9.5%","2,104,330","9.1%","8.1%","22.8%","22.7%","6.7%","20.0%","10.7%","82.9%","30.7%","484,390","87.3%","36.2%","467,690","83.0%","34.3%","798,002","83.1%","29.3%","354,248","76.2%","21.7%","","31.5%","17.1%","11.6%","3.8%","","31,479","14,832","22,102","30,800","48,083","60,084","","(X)"
"Huntington-Ashland, WV-KY-OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,471","13.9%","33.7%","44.7%","7.7%","251,507","4.6%","9.1%","37.5%","21.1%","7.9%","10.9%","8.9%","86.3%","19.8%","43,106","92.9%","24.8%","45,957","91.8%","21.8%","98,085","87.4%","20.7%","64,359","76.2%","13.8%","","30.9%","14.7%","14.6%","5.8%","","31,280","19,459","25,509","30,099","42,442","58,120","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,255","16.4%","31.4%","44.9%","7.3%","120,819","4.7%","8.9%","40.4%","19.7%","6.0%","11.3%","9.1%","86.5%","20.4%","21,470","89.4%","23.6%","22,830","90.4%","21.4%","48,255","88.1%","20.2%","28,264","78.3%","17.3%","","30.4%","12.0%","9.2%","4.6%","","40,586","25,351","33,694","40,857","58,033","62,166","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,216","11.3%","36.1%","44.5%","8.1%","130,688","4.6%","9.3%","34.7%","22.4%","9.7%","10.6%","8.7%","86.1%","19.3%","21,636","96.3%","26.0%","23,127","93.2%","22.1%","49,830","86.8%","21.1%","36,095","74.5%","11.0%","","31.3%","17.5%","18.5%","6.9%","","24,953","15,000","19,638","24,322","38,389","53,675","","(X)"
"Huntsville, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,554","12.2%","34.9%","41.4%","11.5%","299,666","4.0%","7.6%","22.9%","21.7%","8.5%","22.7%","12.5%","88.4%","35.2%","59,946","90.0%","35.0%","55,263","90.7%","34.5%","123,614","89.9%","39.9%","60,843","81.4%","26.6%","","33.3%","15.3%","10.6%","3.5%","","39,915","16,760","27,979","33,729","57,057","75,811","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,504","12.4%","35.9%","43.9%","7.8%","144,029","3.3%","7.7%","22.4%","22.0%","7.8%","22.6%","14.2%","89.0%","36.8%","29,714","91.3%","30.2%","27,147","89.6%","35.3%","60,931","89.9%","39.8%","26,237","83.4%","38.6%","","30.1%","15.9%","8.6%","2.0%","","50,639","19,278","31,818","40,386","75,995","95,136","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,050","12.0%","33.8%","38.8%","15.4%","155,637","4.7%","7.5%","23.4%","21.5%","9.1%","22.8%","10.9%","87.8%","33.8%","30,232","88.7%","39.6%","28,116","91.7%","33.8%","62,683","90.0%","40.0%","34,606","79.9%","17.5%","","35.9%","14.8%","12.3%","5.0%","","31,070","13,924","21,993","26,709","41,486","56,254","","(X)"
"Huntsville, TX Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
