"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99,825","8.4%","38.5%","44.5%","8.6%","652,231","4.4%","5.0%","27.2%","22.4%","10.3%","20.3%","10.4%","90.6%","30.7%","138,988","95.5%","31.9%","124,707","94.6%","31.4%","245,262","91.5%","33.0%","143,274","80.9%","24.9%","","21.2%","10.6%","7.2%","4.0%","","37,242","21,158","30,423","36,924","45,255","60,628","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54,707","9.2%","43.3%","41.2%","6.3%","320,007","3.4%","5.0%","28.2%","23.2%","10.2%","19.5%","10.6%","91.6%","30.1%","72,705","94.8%","25.6%","63,526","94.1%","28.9%","121,392","92.1%","33.1%","62,384","84.5%","30.9%","","18.4%","10.4%","5.7%","3.4%","","42,350","25,157","34,315","42,568","49,227","72,422","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,118","7.5%","32.6%","48.5%","11.4%","332,224","5.3%","5.0%","26.3%","21.7%","10.4%","21.2%","10.1%","89.6%","31.3%","66,283","96.2%","38.9%","61,181","95.1%","33.9%","123,870","90.9%","33.0%","80,890","78.1%","20.2%","","23.4%","10.8%","8.8%","4.6%","","31,940","15,827","25,288","30,309","41,168","51,518","","(X)"
"Hot Springs, AR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,908","15.3%","30.6%","52.0%","2.1%","68,784","5.1%","8.5%","37.6%","23.7%","6.7%","10.2%","8.1%","86.3%","18.4%","10,438","88.2%","10.2%","11,225","90.3%","6.0%","26,733","86.1%","24.2%","20,388","83.5%","21.6%","","35.2%","17.2%","20.8%","4.1%","","22,827","19,900","21,312","20,454","43,476","53,098","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,114","15.4%","38.9%","44.5%","1.2%","32,352","6.5%","9.1%","36.7%","21.0%","4.6%","11.8%","10.3%","84.4%","22.0%","5,143","83.5%","8.0%","5,478","88.6%","7.3%","12,738","82.7%","27.9%","8,993","84.6%","30.6%","","34.5%","12.7%","18.6%","5.1%","","24,055","21,049","21,381","23,720","51,879","65,435","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,794","15.2%","21.6%","60.0%","3.1%","36,432","3.9%","8.0%","38.4%","26.1%","8.5%","8.9%","6.2%","88.1%","15.1%","5,295","92.8%","12.4%","5,747","91.9%","4.8%","13,995","89.2%","20.9%","11,395","82.7%","14.5%","","36.1%","21.1%","22.2%","2.7%","","20,878","11,797","21,189","17,769","33,261","31,274","","(X)"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,028","21.7%","40.4%","33.7%","4.2%","135,016","11.2%","13.5%","39.9%","17.1%","4.6%","8.4%","5.2%","75.3%","13.6%","29,133","79.3%","13.7%","27,042","78.4%","18.6%","54,467","76.0%","11.3%","24,374","65.3%","13.3%","","25.4%","14.0%","13.2%","3.7%","","32,407","27,298","30,744","30,043","46,498","51,700","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,943","25.9%","38.1%","33.1%","2.9%","64,372","12.5%","15.0%","39.9%","17.2%","3.4%","6.9%","5.2%","72.5%","12.1%","13,773","75.9%","11.5%","13,149","72.0%","12.0%","27,061","74.5%","10.2%","10,389","63.6%","17.7%","","18.7%","9.1%","9.3%","7.0%","","46,612","40,070","47,270","37,319","64,755","63,396","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,085","17.1%","43.0%","34.2%","5.7%","70,644","10.0%","12.2%","40.0%","17.0%","5.8%","9.7%","5.3%","77.7%","15.0%","15,360","82.2%","15.7%","13,893","84.6%","24.8%","27,406","77.5%","12.3%","13,985","66.5%","9.9%","","32.8%","18.3%","16.5%","1.4%","","23,845","14,863","19,822","25,789","41,560","49,891","","(X)"
"Houston-Sugar Land-Baytown, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","580,533","21.4%","29.7%","41.6%","7.3%","3,820,697","9.7%","9.2%","24.1%","21.6%","6.5%","19.0%","9.8%","81.1%","28.9%","915,084","81.9%","29.1%","872,480","80.2%","30.0%","1,490,324","82.8%","29.8%","542,809","76.4%","24.1%","","28.7%","15.4%","10.1%","4.1%","","36,430","18,910","27,607","36,075","55,263","71,164","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","299,367","25.9%","31.0%","37.6%","5.6%","1,867,167","10.0%","9.9%","23.4%","20.5%","6.2%","19.3%","10.7%","80.0%","30.0%","460,320","79.3%","25.3%","433,313","78.5%","29.8%","734,190","82.1%","32.1%","239,344","78.1%","33.1%","","24.7%","12.4%","7.7%","4.2%","","42,018","22,187","32,813","43,899","70,463","92,374","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","281,166","16.6%","28.4%","45.9%","9.2%","1,953,530","9.3%","8.6%","24.8%","22.7%","6.9%","18.8%","9.0%","82.1%","27.7%","454,764","84.6%","32.8%","439,167","81.9%","30.1%","756,134","83.5%","27.5%","303,465","75.1%","17.1%","","32.9%","18.0%","12.2%","4.0%","","30,748","12,827","21,922","30,134","48,110","56,329","","(X)"
"Huntington-Ashland, WV-KY-OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,273","13.6%","34.0%","44.7%","7.8%","197,009","4.9%","11.4%","38.5%","19.5%","6.9%","12.0%","6.9%","83.7%","18.8%","34,393","88.5%","17.8%","35,921","91.6%","24.9%","79,258","85.1%","20.4%","47,437","72.0%","12.4%","","31.7%","16.6%","13.6%","6.3%","","30,011","13,899","24,379","27,544","46,295","54,652","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,187","13.3%","35.6%","41.5%","9.5%","94,546","5.0%","11.2%","42.6%","18.0%","4.6%","12.3%","6.4%","83.8%","18.7%","17,100","88.4%","14.1%","18,213","91.3%","22.4%","38,867","84.6%","20.6%","20,366","71.9%","15.4%","","31.0%","13.5%","12.9%","8.1%","","34,292","14,476","29,739","32,574","56,308","86,545","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,086","13.8%","32.4%","47.8%","6.0%","102,463","4.8%","11.6%","34.7%","21.0%","9.0%","11.6%","7.3%","83.6%","19.0%","17,293","88.6%","21.4%","17,708","91.8%","27.4%","40,391","85.7%","20.2%","27,071","72.0%","10.1%","","32.3%","20.2%","14.1%","4.7%","","25,548","13,122","17,928","25,844","40,146","50,983","","(X)"
"Huntsville, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,483","17.4%","28.4%","45.7%","8.4%","284,561","3.4%","8.0%","25.2%","23.0%","7.6%","20.0%","12.8%","88.5%","32.8%","56,383","88.2%","28.6%","55,752","92.6%","35.9%","119,712","90.1%","34.6%","52,714","81.2%","29.8%","","21.7%","12.7%","11.0%","4.3%","","34,449","19,174","24,689","30,177","51,329","67,544","","6.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,159","18.5%","26.6%","47.4%","7.4%","138,123","3.5%","8.1%","24.5%","22.8%","6.9%","19.6%","14.5%","88.4%","34.1%","28,655","87.3%","23.2%","27,622","90.1%","33.8%","59,195","89.5%","36.2%","22,651","84.9%","43.0%","","19.4%","9.6%","7.7%","3.4%","","45,140","24,670","30,623","35,448","75,308","88,446","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,324","16.2%","30.3%","44.0%","9.4%","146,438","3.4%","8.0%","25.7%","23.3%","8.2%","20.3%","11.2%","88.7%","31.5%","27,728","89.2%","34.2%","28,130","95.0%","38.0%","60,517","90.6%","33.1%","30,063","78.3%","19.8%","","23.7%","15.2%","13.7%","5.1%","","26,452","15,731","18,906","24,794","37,336","48,841","","(X)"
"Huntsville, TX Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,102","14.1%","18.0%","66.2%","1.7%","44,390","5.8%","12.3%","34.1%","25.4%","5.1%","11.5%","5.8%","81.9%","17.3%","9,709","85.6%","14.5%","9,844","71.7%","14.2%","17,450","85.1%","17.3%","7,387","82.9%","25.1%","","50.8%","16.1%","10.7%","3.7%","","31,673","11,594","22,499","32,995","38,158","52,116","","2.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,002","20.8%","16.4%","62.7%","0.0%","29,041","8.3%","12.2%","36.6%","26.0%","3.5%","9.1%","4.3%","79.5%","13.4%","7,000","84.3%","8.3%","6,999","71.9%","8.5%","11,186","80.9%","15.4%","3,856","80.5%","25.8%","","28.4%","15.9%","11.2%","2.5%","","38,609","9,643","30,768","41,101","51,392","65,988","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,100","7.4%","19.6%","69.6%","3.4%","15,349","1.2%","12.4%","29.5%","24.3%","8.0%","16.2%","8.5%","86.4%","24.6%","2,709","89.0%","30.5%","2,845","71.3%","28.2%","6,264","92.7%","20.6%","3,531","85.5%","24.4%","","63.1%","16.3%","10.1%","4.8%","","21,995","11,606","21,901","19,308","36,769","51,378","","(X)"
"Hutchinson, KS Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,134","16.6%","37.8%","44.5%","1.1%","43,200","3.5%","8.2%","24.1%","31.1%","10.8%","14.2%","8.1%","88.3%","22.2%","7,309","90.0%","21.5%","7,934","81.2%","23.0%","17,593","93.5%","24.9%","10,364","83.6%","17.7%","","9.4%","9.1%","8.5%","2.6%","","30,431","24,095","26,509","27,258","36,223","51,149","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,026","21.2%","41.4%","36.9%","0.5%","21,074","3.3%","9.9%","24.6%","30.6%","7.1%","15.3%","9.3%","86.8%","24.5%","3,763","86.8%","28.9%","4,465","75.3%","16.0%","8,417","93.2%","27.4%","4,429","86.5%","23.9%","","2.3%","9.6%","7.8%","0.8%","","39,240","30,517","37,141","37,153","43,210","61,298","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,108","10.0%","32.6%","55.5%","1.9%","22,126","3.8%","6.6%","23.7%","31.6%","14.3%","13.1%","6.9%","89.7%","20.1%","3,546","93.3%","13.7%","3,469","88.9%","32.0%","9,176","93.8%","22.5%","5,935","81.5%","13.1%","","17.1%","8.6%","9.1%","4.8%","","24,718","13,383","21,544","21,968","30,477","46,753","","(X)"
"Idaho Falls, ID Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,361","16.0%","34.2%","44.8%","5.0%","78,118","2.8%","5.2%","27.7%","26.6%","10.8%","19.3%","7.7%","92.1%","27.0%","18,183","94.7%","27.6%","14,777","91.9%","24.2%","30,564","92.6%","30.7%","14,594","87.9%","21.2%","","16.1%","13.8%","7.8%","5.8%","","26,649","18,887","19,309","26,014","35,193","86,122","","2.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,540","18.3%","35.5%","45.3%","0.8%","38,375","4.0%","5.4%","26.1%","25.9%","8.8%","19.5%","10.2%","90.6%","29.8%","9,146","91.3%","28.5%","7,127","88.9%","23.9%","15,568","91.4%","32.5%","6,534","89.6%","31.5%","","16.1%","14.7%","6.0%","5.5%","","37,187","22,170","26,415","35,080","51,357","88,469","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,821","13.8%","32.8%","44.3%","9.0%","39,743","1.6%","4.9%","29.1%","27.4%","12.7%","19.1%","5.2%","93.5%","24.3%","9,037","98.2%","26.7%","7,650","94.7%","24.5%","14,996","93.9%","28.8%","8,060","86.4%","12.8%","","16.1%","13.0%","9.3%","6.2%","","19,022","15,698","13,999","21,025","22,229","76,861","","(X)"
"Indiana, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,237","6.8%","23.8%","63.6%","5.8%","56,643","3.6%","9.0%","44.1%","12.3%","7.2%","14.6%","9.3%","87.4%","23.9%","9,063","92.2%","37.2%","9,412","91.2%","25.2%","24,142","92.2%","23.3%","14,026","73.6%","15.4%","","18.2%","11.7%","9.4%","6.0%","","30,571","16,780","24,954","30,761","41,209","51,556","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,258","5.9%","27.1%","64.3%","2.7%","27,827","3.7%","9.5%","44.2%","12.4%","7.1%","13.9%","9.2%","86.9%","23.1%","4,874","92.1%","37.9%","4,663","94.0%","26.5%","12,149","89.3%","20.1%","6,141","72.4%","14.8%","","16.6%","8.5%","5.6%","3.8%","","40,298","23,154","35,918","41,505","47,512","53,469","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,979","7.7%","20.4%","62.8%","9.1%","28,816","3.4%","8.6%","43.9%","12.2%","7.2%","15.4%","9.3%","88.0%","24.6%","4,189","92.3%","36.2%","4,749","88.5%","23.9%","11,993","95.1%","26.6%","7,885","74.5%","15.9%","","19.7%","14.8%","13.0%","8.1%","","21,073","12,251","15,989","22,247","31,386","50,917","","(X)"
"Indianapolis-Carmel, IN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,002","21.4%","30.0%","38.0%","10.6%","1,157,955","3.5%","7.7%","29.9%","20.5%","7.4%","20.6%","10.5%","88.9%","31.1%","253,009","88.4%","36.0%","246,736","90.1%","35.3%","461,445","91.1%","30.6%","196,765","82.7%","20.4%","","29.9%","13.0%","9.5%","2.7%","","35,407","16,751","26,982","32,264","46,586","65,265","","3.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,986","25.8%","33.0%","32.2%","9.0%","552,158","3.9%","7.7%","29.5%","19.9%","6.4%","21.7%","11.0%","88.4%","32.6%","124,154","87.1%","34.2%","120,987","88.7%","34.2%","224,420","90.5%","32.5%","82,597","84.4%","28.4%","","25.7%","10.4%","6.5%","2.9%","","41,651","18,718","31,931","40,794","59,840","80,213","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,016","17.1%","26.9%","43.9%","12.2%","605,797","3.1%","7.6%","30.2%","21.1%","8.3%","19.5%","10.1%","89.3%","29.6%","128,855","89.6%","37.7%","125,749","91.5%","36.4%","237,025","91.6%","28.9%","114,168","81.6%","14.7%","","34.0%","15.4%","11.9%","2.5%","","29,951","14,910","22,305","27,176","39,844","56,549","","(X)"
"Iowa City, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,700","5.0%","15.0%","67.4%","12.6%","92,202","2.4%","3.2%","21.0%","18.1%","9.7%","24.7%","21.0%","94.5%","45.7%","24,151","97.3%","54.0%","16,915","93.4%","45.0%","35,630","96.0%","45.4%","15,506","87.8%","34.5%","","27.3%","10.2%","12.2%","2.7%","","35,964","21,905","26,740","33,122","36,925","56,635","","2.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,917","4.9%","16.6%","63.8%","14.7%","45,196","2.9%","3.4%","23.5%","17.1%","8.1%","21.4%","23.7%","93.8%","45.1%","12,404","96.8%","49.4%","8,477","91.5%","38.9%","17,528","95.7%","43.6%","6,787","86.3%","48.6%","","30.8%","11.3%","9.0%","2.7%","","40,661","23,450","30,857","39,107","42,427","59,063","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,783","5.2%","13.3%","71.1%","10.4%","47,006","1.9%","3.0%","18.6%","19.0%","11.2%","27.9%","18.4%","95.2%","46.4%","11,747","97.9%","58.8%","8,438","95.3%","51.2%","18,102","96.3%","47.0%","8,719","88.9%","23.5%","","23.3%","8.8%","14.8%","2.7%","","30,827","11,061","21,967","28,725","35,149","55,246","","(X)"
"Ithaca, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,060","6.0%","11.9%","64.8%","17.3%","58,933","1.2%","4.9%","18.8%","14.3%","10.0%","21.7%","29.1%","93.9%","50.9%","13,868","96.6%","63.3%","10,418","94.5%","54.4%","23,384","94.8%","46.5%","11,263","88.5%","41.3%","","30.7%","10.0%","9.7%","9.6%","","38,017","19,430","31,062","36,699","37,518","49,165","","2.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,940","9.9%","9.1%","61.0%","19.9%","28,155","1.2%","4.7%","19.4%","14.7%","7.5%","22.0%","30.7%","94.2%","52.6%","7,160","95.2%","61.5%","4,990","95.1%","55.5%","11,005","94.3%","48.7%","5,000","91.8%","45.6%","","29.9%","9.8%","5.6%","8.0%","","43,631","31,066","36,659","40,812","44,918","65,294","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,120","1.8%","14.9%","68.7%","14.5%","30,778","1.2%","5.1%","18.2%","14.0%","12.2%","21.5%","27.7%","93.7%","49.3%","6,708","98.1%","65.3%","5,428","94.0%","53.3%","12,379","95.2%","44.6%","6,263","85.8%","37.8%","","31.3%","10.1%","13.0%","11.2%","","33,236","11,662","26,316","34,430","33,483","45,067","","(X)"
"Jackson, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,980","18.2%","27.7%","45.8%","8.3%","108,480","2.0%","7.1%","35.5%","28.6%","8.3%","12.3%","6.2%","90.8%","18.5%","18,534","88.6%","18.7%","21,011","92.3%","20.7%","46,363","94.8%","20.2%","22,572","83.2%","12.6%","","26.2%","14.7%","10.4%","1.9%","","30,099","12,209","20,725","29,182","40,129","54,262","","2.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,829","19.7%","30.1%","44.3%","5.9%","55,221","1.9%","6.8%","39.1%","28.2%","7.2%","10.1%","6.6%","91.3%","16.7%","10,396","89.2%","13.7%","11,077","90.9%","14.7%","23,801","95.9%","18.0%","9,947","82.9%","19.1%","","26.7%","13.8%","10.8%","1.2%","","33,708","7,398","28,791","33,944","63,536","64,897","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,151","16.4%","25.2%","47.5%","10.9%","53,259","2.2%","7.4%","31.7%","28.9%","9.4%","14.6%","5.7%","90.3%","20.3%","8,138","87.7%","25.2%","9,934","93.9%","27.4%","22,562","93.6%","22.6%","12,625","83.5%","7.5%","","25.9%","15.7%","10.1%","2.5%","","25,636","20,035","16,983","26,167","33,730","41,875","","(X)"
"Jackson, MS Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55,470","18.6%","28.7%","44.9%","7.8%","350,649","4.4%","9.1%","25.9%","23.4%","7.5%","18.7%","10.9%","86.4%","29.6%","76,035","87.5%","30.9%","72,858","87.6%","31.6%","140,642","89.6%","30.6%","61,114","76.6%","23.3%","","32.9%","17.6%","11.9%","4.5%","","31,863","19,922","25,968","28,893","42,233","50,043","","4.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,986","20.7%","32.9%","42.2%","4.2%","162,358","4.5%","10.8%","27.2%","23.4%","6.4%","17.9%","9.8%","84.7%","27.7%","37,057","82.8%","26.2%","33,494","87.0%","24.9%","66,596","87.2%","29.3%","25,211","77.7%","29.1%","","24.8%","14.8%","11.0%","3.2%","","36,826","21,812","31,480","31,802","53,967","62,379","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,484","16.6%","24.6%","47.5%","11.3%","188,291","4.4%","7.7%","24.8%","23.4%","8.5%","19.3%","12.0%","88.0%","31.3%","38,978","91.9%","35.3%","39,364","88.0%","37.4%","74,046","91.7%","31.8%","35,903","75.8%","19.2%","","41.2%","20.2%","12.7%","5.5%","","27,946","16,037","21,243","26,048","35,394","45,427","","(X)"
"Jackson, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,763","11.9%","26.0%","58.1%","4.0%","75,740","6.3%","9.7%","34.0%","22.3%","6.3%","14.3%","7.3%","84.0%","21.5%","15,021","83.3%","12.8%","13,828","90.5%","28.9%","30,728","88.1%","25.9%","16,163","71.5%","14.8%","","36.3%","16.5%","12.6%","6.3%","","30,240","24,674","25,797","28,006","42,049","56,378","","2.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,306","13.8%","30.7%","53.0%","2.5%","34,781","6.4%","11.1%","34.4%","19.7%","6.0%","14.5%","8.0%","82.6%","22.5%","6,364","76.5%","12.9%","6,819","90.7%","24.2%","14,632","87.5%","27.7%","6,966","70.0%","18.5%","","27.5%","13.2%","6.9%","2.0%","","37,150","24,337","31,130","38,802","51,880","62,538","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,457","10.3%","22.0%","62.4%","5.3%","40,959","6.2%","8.6%","33.7%","24.4%","6.5%","14.1%","6.6%","85.2%","20.7%","8,657","88.3%","12.8%","7,009","90.3%","33.5%","16,096","88.6%","24.3%","9,197","72.6%","12.0%","","45.2%","19.4%","16.7%","10.3%","","24,237","25,269","17,090","23,604","35,594","48,505","","(X)"
"Jacksonville, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
