"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","12,452","10.6%","40.8%","42.2%","6.4%","46,989","3.3%","3.3%","30.3%","28.2%","10.7%","17.6%","6.5%","93.3%","24.1%","11,421","97.7%","32.4%","8,948","97.9%","27.2%","17,249","94.9%","20.6%","9,371","80.7%","17.5%","","24.1%","9.9%","5.0%","2.1%","","38,937","30,184","37,468","36,642","47,243","46,209","","7.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,582","10.6%","41.1%","43.6%","4.7%","23,904","3.7%","3.7%","33.3%","24.7%","12.1%","17.9%","4.7%","92.7%","22.6%","6,426","97.8%","18.9%","4,832","96.2%","31.8%","8,423","93.4%","23.8%","4,223","79.4%","15.2%","","19.3%","7.8%","2.9%","3.6%","","48,292","31,570","41,253","48,107","68,289","57,260","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,870","10.6%","40.3%","40.1%","9.0%","23,085","3.0%","3.0%","27.1%","31.9%","9.3%","17.2%","8.5%","94.0%","25.7%","4,995","97.6%","49.7%","4,116","100.0%","21.8%","8,826","96.4%","17.6%","5,148","81.8%","19.4%","","30.3%","12.6%","7.0%","0.7%","","26,235","26,813","22,081","25,530","30,609","36,750","","(X)"
"Missoula, MT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,650","12.1%","28.4%","54.1%","5.4%","72,653","1.8%","4.3%","21.6%","26.3%","6.3%","24.9%","14.9%","94.0%","39.8%","17,301","95.1%","42.1%","13,208","94.6%","47.4%","27,280","93.7%","36.9%","14,864","92.7%","36.0%","","24.0%","12.6%","16.3%","5.8%","","27,215","25,069","25,665","20,401","30,907","45,343","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,368","11.5%","32.9%","50.9%","4.8%","36,387","1.7%","4.2%","23.0%","30.9%","3.8%","22.1%","14.3%","94.1%","36.4%","9,380","93.0%","31.8%","6,736","92.8%","37.6%","13,363","96.3%","35.5%","6,908","92.7%","43.2%","","6.8%","10.4%","17.5%","5.2%","","31,611","34,037","31,968","21,931","37,753","56,744","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,282","12.7%","24.3%","57.1%","5.9%","36,266","1.8%","4.4%","20.1%","21.7%","8.7%","27.7%","15.6%","93.8%","43.3%","7,921","97.5%","54.3%","6,472","96.4%","57.7%","13,917","91.1%","38.1%","7,956","92.8%","29.7%","","40.1%","15.2%","14.8%","6.2%","","23,170","14,648","20,758","17,190","28,987","30,768","","(X)"
"Mobile, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,992","19.9%","31.8%","40.3%","7.9%","273,170","4.4%","9.8%","32.1%","22.4%","9.0%","15.3%","7.0%","85.8%","22.3%","55,374","86.2%","24.7%","50,073","89.5%","24.3%","108,986","87.7%","22.9%","58,737","78.6%","16.9%","","32.3%","16.5%","14.0%","3.5%","","30,793","14,949","25,730","27,115","41,739","52,020","","8.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,249","24.9%","31.9%","35.7%","7.4%","127,726","5.3%","10.4%","33.4%","22.0%","7.7%","14.9%","6.4%","84.4%","21.3%","26,738","84.6%","19.6%","23,982","86.1%","22.0%","51,972","86.8%","23.5%","25,034","77.4%","17.8%","","26.9%","12.4%","7.0%","2.6%","","38,636","25,334","32,247","38,934","50,976","67,030","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,743","15.0%","31.7%","44.8%","8.5%","145,444","3.6%","9.4%","31.0%","22.8%","10.2%","15.7%","7.4%","87.0%","23.1%","28,636","87.7%","29.6%","26,091","92.7%","26.5%","57,014","88.6%","22.4%","33,703","79.5%","16.2%","","37.5%","20.3%","19.4%","4.3%","","24,191","11,858","19,630","21,075","35,580","49,515","","(X)"
"Modesto, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54,640","11.3%","36.4%","48.5%","3.8%","325,595","12.5%","10.2%","28.9%","24.9%","7.4%","10.5%","5.5%","77.2%","16.0%","72,553","83.3%","13.4%","67,277","76.1%","15.2%","123,270","76.5%","18.1%","62,495","72.9%","16.0%","","28.3%","17.5%","13.7%","5.4%","","31,144","18,686","26,935","32,658","52,087","71,003","","8.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,678","13.0%","40.7%","43.4%","2.8%","158,148","12.7%","11.9%","28.2%","25.9%","6.2%","9.5%","5.5%","75.4%","15.0%","37,206","81.1%","10.2%","33,410","69.8%","14.7%","60,212","75.5%","16.2%","27,320","74.4%","19.5%","","26.4%","14.8%","11.8%","5.1%","","37,133","25,677","35,117","41,626","60,981","80,515","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,962","9.5%","32.1%","53.7%","4.7%","167,447","12.3%","8.7%","29.5%","24.0%","8.5%","11.4%","5.5%","79.0%","17.0%","35,347","85.6%","16.7%","33,867","82.2%","15.6%","63,058","77.5%","20.0%","35,175","71.7%","13.2%","","30.3%","19.9%","15.4%","5.7%","","23,757","10,439","21,590","26,229","48,106","59,129","","(X)"
"Monroe, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,232","16.8%","35.8%","41.1%","6.2%","114,367","3.9%","10.5%","35.2%","23.8%","4.9%","14.1%","7.6%","85.6%","21.7%","24,757","86.8%","23.0%","20,974","85.7%","20.7%","44,317","85.9%","21.5%","24,319","83.6%","21.8%","","44.7%","23.5%","15.4%","2.8%","","29,726","14,218","24,664","25,927","42,287","50,032","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,169","20.3%","42.9%","29.3%","7.4%","53,224","4.3%","11.5%","35.8%","24.0%","3.7%","13.1%","7.7%","84.3%","20.8%","11,780","85.9%","17.0%","10,142","85.5%","19.8%","20,979","81.4%","20.8%","10,323","86.9%","26.2%","","35.9%","18.1%","7.6%","1.9%","","40,074","21,229","35,602","37,256","60,085","72,738","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,063","13.6%","29.4%","51.8%","5.2%","61,143","3.5%","9.7%","34.6%","23.6%","5.9%","15.0%","7.6%","86.7%","22.6%","12,977","87.6%","28.3%","10,832","85.8%","21.5%","23,338","90.0%","22.2%","13,996","81.3%","18.6%","","51.9%","27.9%","21.2%","3.6%","","22,001","11,399","18,988","20,931","40,041","44,094","","(X)"
"Monroe, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,429","9.4%","44.5%","39.2%","7.0%","102,694","2.7%","7.7%","33.9%","25.7%","10.6%","13.8%","5.7%","89.6%","19.4%","15,762","93.1%","19.8%","18,853","94.4%","24.7%","45,222","90.7%","19.5%","22,857","81.1%","14.7%","","34.0%","11.0%","8.4%","2.1%","","35,168","11,655","31,054","31,596","50,933","72,159","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,661","10.1%","52.5%","31.3%","6.0%","50,535","2.0%","8.3%","32.7%","27.5%","8.8%","14.3%","6.3%","89.8%","20.7%","7,957","93.7%","18.3%","9,787","95.5%","20.0%","22,652","90.6%","21.9%","10,139","79.2%","20.5%","","23.2%","9.7%","5.6%","0.8%","","49,421","11,529","47,154","42,542","56,404","91,547","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,768","8.6%","36.6%","46.9%","7.9%","52,159","3.3%","7.1%","35.1%","23.8%","12.4%","13.2%","5.0%","89.5%","18.3%","7,805","92.5%","21.4%","9,066","93.3%","29.7%","22,570","90.9%","17.2%","12,718","82.7%","10.1%","","44.6%","12.1%","11.2%","3.5%","","25,891","12,450","21,841","22,469","40,473","61,417","","(X)"
"Montgomery, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,956","22.3%","31.0%","36.2%","10.5%","245,470","4.3%","10.0%","30.9%","22.5%","6.4%","15.4%","10.5%","85.7%","25.9%","52,040","84.2%","20.7%","47,633","89.8%","29.3%","96,289","88.0%","27.5%","49,508","78.7%","24.8%","","36.3%","14.8%","11.9%","4.7%","","31,977","17,043","25,710","30,756","43,200","56,222","","6.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,600","24.0%","33.1%","39.6%","3.2%","113,651","5.1%","9.7%","32.1%","20.2%","6.4%","15.2%","11.2%","85.2%","26.4%","24,334","86.0%","18.6%","22,456","89.3%","27.5%","45,928","86.3%","27.1%","20,933","77.3%","32.8%","","32.7%","8.1%","7.9%","5.0%","","39,925","20,318","30,488","40,589","55,371","71,601","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,356","20.6%","28.8%","32.7%","17.9%","131,819","3.5%","10.3%","29.8%","24.5%","6.5%","15.5%","9.9%","86.1%","25.4%","27,706","82.6%","22.5%","25,177","90.2%","30.9%","50,361","89.6%","28.0%","28,575","79.8%","18.9%","","39.5%","20.8%","14.7%","4.5%","","26,082","12,150","21,205","23,655","35,598","50,815","","(X)"
"Morehead City, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,912","20.5%","31.8%","39.7%","8.0%","50,780","4.2%","7.6%","28.0%","27.1%","10.6%","14.9%","7.6%","88.2%","22.5%","7,819","85.4%","20.2%","7,863","87.0%","24.7%","20,609","91.4%","24.3%","14,489","85.9%","20.1%","","20.4%","12.1%","12.2%","6.1%","","27,393","20,411","23,257","25,538","35,980","63,455","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,699","22.8%","41.1%","23.3%","12.7%","24,480","5.3%","9.1%","29.7%","26.2%","8.1%","13.5%","8.1%","85.6%","21.5%","3,946","83.2%","14.6%","4,069","83.7%","22.0%","9,789","88.0%","23.6%","6,676","84.6%","22.3%","","22.3%","11.7%","5.4%","5.8%","","32,272","21,429","30,902","31,186","50,931","75,538","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,213","17.8%","20.5%","59.6%","2.2%","26,300","3.2%","6.1%","26.3%","28.0%","13.0%","16.2%","7.2%","90.7%","23.4%","3,873","87.7%","25.8%","3,794","90.5%","27.6%","10,820","94.6%","24.9%","7,813","86.9%","18.2%","","17.9%","12.5%","17.5%","6.4%","","21,080","17,142","15,938","20,569","21,676","61,694","","(X)"
"Morgantown, WV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,050","5.3%","22.5%","59.3%","12.9%","84,734","4.2%","7.4%","32.7%","18.0%","5.2%","15.6%","16.9%","88.4%","32.5%","21,615","92.1%","41.4%","14,967","93.1%","36.7%","31,697","90.4%","30.4%","16,455","75.5%","21.0%","","14.5%","13.1%","10.8%","7.9%","","35,245","21,618","28,526","28,997","36,804","53,430","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,405","2.9%","24.8%","67.0%","5.4%","42,881","4.9%","9.1%","32.3%","19.4%","4.0%","13.2%","17.2%","86.0%","30.3%","11,671","90.0%","37.2%","7,973","92.2%","32.6%","15,795","86.0%","27.6%","7,442","73.2%","22.9%","","14.1%","11.0%","8.0%","6.2%","","41,222","22,002","40,144","36,893","45,167","59,189","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,645","8.0%","20.2%","51.1%","20.8%","41,853","3.4%","5.6%","33.2%","16.5%","6.5%","18.1%","16.6%","90.9%","34.7%","9,944","94.7%","46.4%","6,994","94.1%","41.4%","15,902","94.8%","33.1%","9,013","77.4%","19.3%","","15.0%","15.1%","13.8%","9.4%","","29,292","14,968","19,678","22,432","33,150","50,571","","(X)"
"Morristown, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,357","10.4%","34.8%","48.4%","6.3%","79,554","9.1%","9.2%","41.9%","19.5%","5.9%","9.7%","4.7%","81.7%","14.4%","13,376","83.9%","15.4%","14,465","86.3%","12.7%","31,654","86.7%","13.2%","20,059","68.9%","16.8%","","32.2%","12.5%","12.3%","3.8%","","27,347","15,885","25,429","32,149","32,346","45,000","","7.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,964","15.6%","31.1%","45.4%","7.8%","39,278","9.5%","10.7%","43.2%","19.3%","3.6%","9.9%","3.8%","79.8%","13.7%","7,256","78.2%","10.0%","7,348","89.7%","7.9%","15,924","84.0%","14.6%","8,750","65.3%","20.0%","","36.4%","9.7%","9.1%","2.8%","","31,628","15,556","31,197","41,110","38,042","81,981","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,393","4.6%","39.1%","51.7%","4.6%","40,276","8.7%","7.8%","40.6%","19.7%","8.1%","9.4%","5.7%","83.5%","15.1%","6,120","90.7%","21.7%","7,117","82.8%","17.7%","15,730","89.6%","11.9%","11,309","71.6%","14.3%","","27.4%","15.5%","14.8%","4.8%","","24,618","17,998","21,679","27,154","27,922","41,763","","(X)"
"Moses Lake, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,720","37.4%","21.7%","38.4%","2.5%","54,108","14.8%","9.7%","25.2%","24.7%","11.2%","11.0%","3.4%","75.5%","14.4%","10,791","75.5%","12.4%","11,595","71.0%","9.3%","20,394","80.7%","16.8%","11,328","70.9%","17.1%","","28.5%","14.2%","10.6%","3.5%","","29,339","21,167","27,038","32,615","36,360","62,315","","7.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,592","36.0%","25.9%","36.8%","1.4%","26,740","18.0%","9.7%","24.8%","23.8%","11.2%","9.4%","3.2%","72.3%","12.6%","5,172","68.9%","10.0%","5,914","68.1%","5.4%","10,161","80.3%","13.8%","5,493","65.2%","20.4%","","21.7%","15.5%","4.1%","3.1%","","40,156","25,135","34,637","46,487","62,106","46,705","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,128","39.5%","16.0%","40.5%","4.0%","27,368","11.7%","9.7%","25.7%","25.6%","11.1%","12.6%","3.6%","78.7%","16.2%","5,619","81.5%","14.6%","5,681","74.0%","13.5%","10,233","81.0%","19.9%","5,835","76.3%","14.0%","","36.9%","12.9%","16.7%","3.9%","","21,095","15,472","22,427","20,161","29,052","63,365","","(X)"
"Mount Airy, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,503","19.9%","30.8%","42.3%","7.0%","51,171","8.6%","13.4%","32.7%","19.9%","9.8%","9.5%","6.0%","77.9%","15.5%","7,624","76.9%","16.6%","8,841","81.2%","19.4%","21,128","84.2%","18.1%","13,578","66.7%","8.5%","","37.0%","18.1%","13.9%","2.7%","","29,749","20,703","26,265","29,948","40,503","45,069","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,967","21.5%","27.1%","50.0%","1.4%","24,506","11.5%","14.4%","35.5%","17.7%","7.4%","8.5%","4.9%","74.2%","13.5%","3,895","67.2%","14.1%","4,328","77.1%","16.2%","10,401","80.1%","13.9%","5,882","66.0%","10.4%","","33.7%","14.5%","8.6%","3.4%","","32,199","21,785","30,572","39,684","49,756","70,273","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,536","18.1%","35.1%","33.3%","13.5%","26,665","6.1%","12.5%","30.1%","21.8%","12.0%","10.4%","7.1%","81.4%","17.4%","3,729","86.9%","19.2%","4,513","85.2%","22.5%","10,727","88.1%","22.1%","7,696","67.2%","7.0%","","41.3%","22.1%","17.5%","2.2%","","24,681","15,247","16,731","25,325","34,808","39,934","","(X)"
"Mount Pleasant, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,145","5.2%","17.0%","73.6%","4.2%","37,059","1.5%","7.0%","31.7%","24.7%","7.6%","17.7%","9.7%","91.5%","27.4%","8,830","91.8%","32.9%","6,449","92.2%","33.4%","14,021","93.5%","26.0%","7,759","86.9%","18.8%","","30.9%","19.2%","16.0%","13.5%","","27,279","21,466","22,604","27,122","36,966","46,913","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,745","9.1%","19.5%","66.1%","5.2%","18,153","1.6%","10.1%","31.2%","23.9%","5.3%","17.8%","10.1%","88.2%","27.9%","4,534","87.4%","31.6%","3,313","88.3%","30.1%","6,830","92.0%","26.1%","3,476","82.0%","24.3%","","23.8%","16.8%","9.3%","17.3%","","32,321","22,196","30,048","35,336","39,440","62,279","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,400","1.9%","14.8%","80.0%","3.4%","18,906","1.4%","3.9%","32.2%","25.6%","9.9%","17.7%","9.3%","94.6%","27.0%","4,296","96.5%","34.2%","3,136","96.4%","36.9%","7,191","95.0%","25.8%","4,283","90.8%","14.3%","","45.4%","21.6%","21.4%","9.8%","","21,400","8,291","16,800","18,684","31,802","43,095","","(X)"
"Mount Vernon-Anacortes, WA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,155","25.5%","37.4%","34.3%","2.8%","81,818","4.2%","6.8%","27.6%","27.5%","10.2%","13.9%","9.8%","88.9%","23.7%","14,940","88.8%","14.3%","13,364","87.0%","22.7%","31,761","91.1%","26.6%","21,753","87.0%","26.6%","","29.8%","14.7%","12.4%","8.5%","","33,341","18,242","30,251","34,745","48,182","61,662","","6.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,048","28.2%","46.1%","25.7%","0.0%","39,985","3.3%","10.0%","28.6%","25.1%","8.4%","14.1%","10.5%","86.7%","24.6%","7,806","85.1%","10.0%","6,945","81.0%","20.9%","15,234","89.3%","27.6%","10,000","88.2%","34.1%","","27.8%","11.0%","7.9%","6.6%","","38,943","22,124","32,409","41,518","62,086","61,534","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,107","22.8%","28.9%","42.8%","5.5%","41,833","5.1%","3.8%","26.6%","29.7%","11.9%","13.7%","9.2%","91.0%","22.8%","7,134","92.9%","19.1%","6,419","93.5%","24.5%","16,527","92.8%","25.7%","11,753","86.1%","20.2%","","32.6%","18.5%","15.9%","10.3%","","27,539","12,139","25,187","29,486","35,070","61,765","","(X)"
"Muncie, IN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,845","8.7%","16.2%","63.3%","11.7%","71,086","3.6%","8.3%","33.5%","22.1%","8.4%","15.0%","9.1%","88.1%","24.1%","12,656","88.5%","23.1%","12,142","95.0%","33.3%","28,176","88.7%","23.2%","18,112","82.1%","20.1%","","36.9%","14.0%","13.6%","5.4%","","26,779","15,116","21,882","24,720","40,576","55,981","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,335","11.8%","20.5%","58.0%","9.8%","33,638","4.5%","8.4%","33.9%","22.3%","6.8%","14.6%","9.4%","87.1%","24.0%","6,545","87.0%","19.9%","5,804","91.8%","25.8%","13,646","86.3%","25.7%","7,643","85.0%","23.2%","","33.9%","12.0%","12.5%","3.6%","","32,032","17,072","23,618","31,751","45,711","66,555","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,510","6.0%","12.3%","68.2%","13.5%","37,448","2.8%","8.3%","33.1%","21.8%","9.8%","15.3%","8.9%","88.9%","24.2%","6,111","90.1%","26.6%","6,338","97.9%","40.2%","14,530","90.9%","20.8%","10,469","80.0%","17.7%","","40.2%","15.9%","14.6%","7.1%","","22,472","13,307","20,588","21,041","34,761","52,074","","(X)"
"Muskegon, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,279","20.4%","40.5%","35.3%","3.8%","114,526","2.4%","8.2%","35.8%","25.0%","11.2%","11.7%","5.6%","89.4%","17.3%","20,740","85.8%","16.1%","21,043","91.8%","23.1%","47,565","92.4%","16.4%","25,178","84.6%","15.3%","","34.3%","17.5%","14.3%","5.0%","","30,269","16,836","25,688","30,747","43,713","58,690","","8.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,747","25.6%","48.8%","24.3%","1.3%","55,626","2.3%","8.5%","37.1%","25.1%","10.2%","11.4%","5.4%","89.2%","16.8%","10,662","85.4%","14.9%","10,479","92.6%","20.3%","23,474","91.9%","14.7%","11,011","84.2%","19.7%","","30.9%","15.6%","9.3%","4.5%","","35,245","22,435","31,186","36,594","50,675","66,638","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,532","15.1%","31.9%","46.6%","6.4%","58,900","2.5%","8.0%","34.6%","25.0%","12.1%","12.1%","5.7%","89.5%","17.8%","10,078","86.2%","17.3%","10,564","90.9%","25.9%","24,091","92.9%","18.1%","14,167","85.0%","11.8%","","37.5%","19.2%","18.8%","5.4%","","24,273","13,278","18,573","23,110","36,513","56,123","","(X)"
